name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,nickname,ra,dec
4FGL J0753.4+4650,0.0,2.40353247,-0.0542931199115082,3.173006799625799,0.4953657582636811,-11.717961594725367,bll,56.07399878813885,0.0611385650852218,29.69387174183196,504S-0266,118.36320201724835,46.848717064263965
4FGL J0753.8-4700,0.47712125471966244,1.89418484,0.2776448625938732,2.9459408836310894,0.170402133762657,-11.667600850084213,bll,33.49684826890007,0.1344205986542583,-9.811200778694085,605N-0844,118.4505473727213,-47.006121390805
4FGL J0754.9-3953,0.0,2.2646139,0.7505223786615889,3.41879439406951,0.1056706470412438,-11.479498383496779,X,214.89820478623733,0.0354098586175131,-6.065806770655192,P88Y1863,118.72078079445573,-39.875872690590576
4FGL J0755.6+1855,0.3010299956639812,1.81917587,0.2439255516864635,3.6652935582849566,0.3808176774851913,-12.00614875092062,bll,48.97277786605992,0.0720054358059099,22.384340678929053,605F-0135,118.91200469224421,18.946739742511774
4FGL J0755.9-0515,0.3010299956639812,2.89365453,0.0436650959279694,2.587746069184511,0.2048794546354063,-11.351481733514703,fsrq,112.78877361351624,0.1085354138975095,11.8224425305903,P88Y1864,119.00140487304917,-5.224953888904104
4FGL J0757.9+7304,0.47712125471966244,1.8946188,0.1139203039168479,3.6532428666396237,0.5103354529806945,-11.930339495099929,bll,104.60986284469254,0.0367784390062813,30.686176679293094,504H-0143,119.47367631417049,73.06440169353388
4FGL J0758.8-1450,0.0,2.03344361,0.4936951048250648,3.2094399812183667,0.1325974666488684,-11.185769905961267,X,848.315385036869,0.027601907415716,7.619715880117896,P88Y1873,119.70195997278078,-14.826538848534412
4FGL J0800.7-1059,0.3010299956639812,2.34392209,0.2076635066862175,3.1647435566164663,0.1737646715913627,-11.629110859804978,bll,104.73338774801232,0.0531155647862876,10.006777647530363,P88Y1881,120.20840752746885,-10.970010624783948
4FGL J0800.9+0733,0.0,1.76402462,0.473115828365972,3.771842453316408,0.3232308953959578,-11.926569545455349,bll,93.651966782636,0.0423734544107052,18.85842872194812,P88Y1882,120.2235622917619,7.551507967156105
4FGL J0801.0-0618,0.8450980400142568,2.43413983,0.0623291671083547,3.4312081295655887,0.2146280536627552,-11.693773306064239,bll,53.57698169385549,0.0577254316303425,12.393706952692993,P88Y1889,120.27960654698957,-6.31981397985369
4FGL J0803.2-2522,0.0,2.4055363,-0.0601223051661992,3.258362213306666,0.0520560401528165,-11.443221533822225,bll,66.35406258609146,0.0523891536059159,2.9839400974663843,605H-0117,120.77832566111229,-25.368588836918843
