name,ts,r95,eflux100,glat,glon,nbb,delta,variability,pindex,curvature,singlat,category,uwname
4FGL J2244.2+4057,11811.5,0.0111937,4.6938e-11,-15.8053,98.5038,44,0.00357341,5494.87,2.12013,0.0892198,-0.272369,fsrq,J2244.2+4057
4FGL J2244.6+2502,109.467,0.039773,1.56972e-12,-29.5251,89.752,2,0.0204057,12.9615,1.82477,0.238194,-0.492804,bll,J2244.5+2503
4FGL J2244.9-0007,66.7345,0.0566242,2.35373e-12,-49.3456,69.3093,3,0.0158057,12.337,2.37296,-0.0210725,-0.758653,bll,J2244.8-0007
4FGL J2245.5-1734,42.0799,0.0625891,6.31701e-13,-59.4172,44.493,1,0.0451347,12.806,1.78293,0.531383,-0.860895,bcu,J2245.3-1733
4FGL J2245.8-5609,423.287,0.0339485,5.90907e-12,-55.104,330.983,1,1.89563,13.2575,2.76584,-0.100039,-0.820192,fsrq,J2258.2-5525
4FGL J2245.8-4148,26.2291,0.0787046,4.54271e-13,-60.466,354.939,1,0.0214783,9.71325,1.90567,0.391213,-0.870063,unid,J2245.7-4149
4FGL J2245.9+1544,475.02,0.0264706,9.02332e-12,-37.4428,83.8393,86,0.0279926,36.2609,2.29668,-0.0611492,-0.607969,bll,J2246.0+1544
4FGL J2246.4+8426,33.9482,0.21694,2.09447e-12,22.6372,120.811,1,0.9693,10.1829,2.95888,0.189917,0.384894,unid,J2316.8+8506
4FGL J2246.5-1204,91.6075,0.0927727,2.18528e-12,-57.0842,53.9196,48,0.0323213,92.7689,2.58586,0.57139,-0.83947,fsrq,J2246.4-1205
4FGL J2246.7-5207,147.493,0.033001,2.05053e-12,-55.8322,337.401,1,0.00226475,20.9863,1.75696,0.0513148,-0.827396,bll,J2246.7-5207
4FGL J2247.1+4658,471.875,0.0195406,5.73441e-12,-13.2662,100.73,1,2.76235,18.6862,1.70229,0.0387457,-0.229476,bcu,J2247.9+4413
4FGL J2247.4-0001,364.498,0.0268513,4.48874e-12,-49.743,70.1228,1,0.0112286,19.2567,1.91985,0.129713,-0.763154,bll,J2247.5-0001
